Theta,Phi_r,v_alh (q),m_alh (q),s_alh (q),Bay (q),Bay Lower,Bay Upper,,
2.078970608,0.746191723,0.021906354,0.012556982,2.866476712,0.024464058,0.010418773,0.046632766,,
46.48612164,0.72079823,0.115364262,0.280776175,2.861092253,0.029690016,0.018283109,0.048240612,,
43.58277506,0.651325418,0.104701699,0.263239961,2.862565523,0.033632514,0.022943601,0.050132934,,
39.86923848,0.670184927,0.090599118,0.2408102,2.858654378,0.03130668,0.021484269,0.047136902,,
27.21093857,0.640630059,0.044601324,0.164354069,2.841357578,0.02784626,0.019126363,0.040977091,,
88.79748478,0.688131161,0.094175134,0.536336808,2.891157267,0.042681452,0.026564567,0.066830657,,
24.47885907,0.706813189,0.036299107,0.147852309,2.853480022,0.026398846,0.016363623,0.04289764,,
44.10361858,0.664810535,0.106645845,0.266385856,2.862680181,0.032948586,0.022549065,0.04946664,,
36.44037871,0.731131256,0.077483622,0.220099887,2.859866995,0.027721986,0.016251907,0.0466471,,
15.32244834,0.675649224,0.016691312,0.092547588,2.838547733,0.023925081,0.015281347,0.037460978,,
18.23569372,0.617645809,0.021312106,0.11014359,2.822226779,0.023999681,0.015550993,0.035380505,,
82.64724678,0.692028538,0.130814375,0.499189371,2.884834835,0.040429542,0.025415965,0.063382973,,
77.24517506,0.667123138,0.150700277,0.466560857,2.894179788,0.043233309,0.027669157,0.066489429,,
17.91398752,0.740790542,0.020719473,0.108200485,2.862134173,0.025599821,0.013308052,0.045523907,,
78.80963615,0.656178694,0.146034251,0.476010202,2.901480484,0.045578792,0.028729066,0.070347866,,
18.82675171,0.657885909,0.022451389,0.11371358,2.835827619,0.024734864,0.01646268,0.037294222,,
56.38916896,0.696460339,0.146192782,0.340590581,2.868113735,0.033682213,0.022082179,0.05209576,,
7.315247099,0.677199056,0.014019567,0.044184092,2.83271454,0.021681319,0.012890919,0.035136603,,
79.23326636,0.653464401,0.144621753,0.478568929,2.903410524,0.046189142,0.029024251,0.071245528,,
4.635026952,0.749208899,0.016994895,0.027995563,2.867625999,0.024823373,0.010851037,0.047056182,,
49.94486003,0.642220065,0.127317889,0.301666955,2.871097722,0.036687989,0.024426448,0.054848716,,
70.17403727,0.63838348,0.161815725,0.423851185,2.899098886,0.04512481,0.028314952,0.069283919,,
10.51512628,0.729704939,0.013144859,0.063511363,2.85795423,0.02450821,0.012757596,0.043840472,,
36.40322408,0.59572483,0.077342397,0.219875473,2.850229658,0.033338338,0.020902588,0.049362489,,
3.775513634,0.626514992,0.018412749,0.022804102,2.803508894,0.017794866,0.009574687,0.028430766,,
